word,frequency
limited,1
http//jamiekravitzcontentlycom,1
didEquality,1
consider,1
he's,1
sparked,1
paralyzed,1
lack,1
all,6
everybody,1
founded,1
protest,1
Bureau,1
comments,1
skin,1
talks,1
follow,1
CaitlynThis,1
causeListed,1
empathize,1
carpet,1
whose,1
certainly,1
terms,1
bachelors,1
Award,1
 On,1
to,89
must,1
asking,1
authentically,2
passion,1
set,1
include,4
Day,1
recipient,1
misjudgements,1
woman,16
music,1
Prize,1
very,2
foisted,1
docuseries,1
focus,1
Following,1
her older,1
Bruce',1
every,2
honorable,1
telling,1
I'm,5
difference,1
bringing,1
entire,2
school,1
Just,1
legalization,1
skills,1
supports,2
rights,3
companies,1
this,12
lifeAlong,1
announced,1
car,1
small,1
speculation,1
shows,1
commented,1
added,1
clothes,1
enjoy,2
talked,1
says,3
diverting,1
University's,1
direct,1
past,2
go,2
zero,2
street,1
video,2
Rich,1
Some,1
further,2
believes,1
even,2
what,9
stood,1
appear,1
witnessed,1
Bruce,2
reaching,1
Notable,1
remain,1
find,2
'You,1
Now,2
Olivia,2
goes,1
During,1
learned,1
America,1
trans-woman,2
public,1
themselves,1
told,2
Me,1
supporting,1
forwardJenner,1
kicked,1
chose,2
pagesIf,1
K,2
Buzzfeed,2
CampusThis,1
here,2
life'Jenner's,1
Arthur,1
obsessing,2
others,2
hadn't,1
OreoDo,1
who's,1
joins,1
change,1
Commonwealth,2
sending,1
convert,1
cockatiel,1
MA,1
State,2
bratty,1
changed,1
allows,1
completely,1
experience,5
example,1
2015After,1
speechJenner,1
month,1
abolition,1
social,1
action,1
opinion,2
music-based,1
suitable,1
makes,2
honor,1
named,2
writer,1
love,1
family,6
out“No,1
mid-May Now,1
It's,3
explained,1
When,6
while,1
Am,1
Contributing,1
pasta,1
names,1
support,1
kind,2
Caitlyn,38
yourself,1
from,7
identifies,1
would,6
“traditionalist”,1
food,1
June,3
two,2
next,1
few,2
live,2
going,3
Katherine,2
until,1
means,1
type,1
Glamour’s,1
more,10
chapter,1
65-year-old,1
courageLastly,1
knows,2
on,27
These,1
Ashe,1
apparent,1
Wednesday,1
award,6
Erica,1
belowWhile,1
Emerson,2
known,2
glad,1
women,9
me,4
states,1
pageant,1
Regardless,1
anything,1
Pope,1
LGBTQ+,1
pursue,1
science,1
originally,1
work,1
cat,1
movies,2
hardest,2
obvious,1
JulySource ABC,1
Boston,1
isn’t,4
making,1
trans,2
my,5
Your,1
history,1
claim,1
Jenner’s,3
months,2
Heather,1
figure,1
Grey's,1
process,1
Media,1
awesome,1
share,1
ridiculously,1
accept,2
topic,1
CampusIt,1
graduation,1
want,2
Scandalduh,1
deathbed,1
offense,1
honest,2
dress,1
returned,1
ceremony,1
needs,2
productive,1
CampusTwo weeks,1
viewpoint,1
cheering,1
rather,1
divided,1
get,2
struggles,1
write,10
how,1
male,2
interview,10
worldKatherine,1
Friends,1
A,1
Correspondent,2
okay,1
plans,1
may,3
after,3
  The,1
Jackie,1
Will,1
wrong,1
Reese,2
coming,2
between,1
such,1
spelling,1
Pitchfork,1
nomination,1
response,1
types,1
man,1
cuddling,1
sets,1
maybe,1
acknowledged,1
While,2
okay”,1
courage,2
so,8
increasing,1
goodbye,1
media,4
previouslyJenner,1
Apply,9
athletes,1
playing,1
that's,1
Borwick,1
What,2
six,1
shoes,1
Kris,1
Purple,1
over,2
fall,1
Smith,3
mission,1
years,3
course,1
through,2
debuted,1
“When,1
the “Woman,1
still,7
its,5
before,1
1,2
group,1
21,2
hypocrisy,1
personal,2
interesting,1
“I,1
writing,3
late,2
2019,1
relate,1
2015,3
speech,5
infertile,1
then,3
them,2
good,2
greater,1
recipients,1
views,3
nod,1
conversations,1
hardships,1
spell,1
introduce,1
cupcake,1
break,2
bigotry or,1
Because,1
drinking,1
She,11
they,1
President,1
not,25
documented,1
republican,1
menstruate,1
Instagram,2
Anatomy,1
JulyDanielle,1
equality,1
name,12
pregnant,1
fully,1
debut,1
identified,1
Kylie,1
did,3
transfolk,1
gender,2
found,1
went,1
giving,1
isn't,3
controversies,1
everyone,2
series,1
Siri's,1
life—choosing,1
police,1
investigative,1
children Why,1
year,3
our,3
special,1
out,9
ultimately,1
continuing,1
opened,1
wondered,1
entertainment,1
aside,1
captivated,1
since,5
crucial,1
flick Do,1
your,10
collegiettes,1
overreaction,1
shouldn't,1
term,1
got,2
receiving,1
issue,3
correct,1
red,1
Vanity,9
Northwestern,1
Rights,1
This,2
disagree,2
University,5
Apple is,1
little,2
free,1
admits,1
reason,2
But,2
struggle,1
members,2
One,1
ask,1
Studies,1
advance,1
Monday,1
join[s],1
starts,1
National,1
put,1
keep,1
thing,1
“The,1
Human,1
stated,1
Chair,1
star,1
think,3
first,2
choiceSelecting,1
concluded,1
major,4
there,4
features,1
simply,1
feel,1
Versace,1
empowering,1
sit-down,1
one,9
well-known,1
JennerAnd,1
brave,1
done,2
adopted,1
another,1
vote,1
reached,1
message,1
awarded,1
open,1
20/20,1
choice,1
idea,1
story,5
McGowan—when,1
discussed,1
likely,1
revealed,2
top,1
seat,1
least,1
lesbian,3
anyone,1
their,6
too,1
realization,1
show,2
recent,1
cite,1
friend,1
discussion,1
a,93
eyes,1
that,53
Kardashian,1
season,1
exactly,1
took,1
Kourtney,1
released,3
ridiculous,1
tabloids,1
kept,1
believe,4
herself,2
than,8
11,1
13,1
pictwittercom/GO1ZgJJKBR—,1
surrounding,1
lying,2
Siri,1
rate,1
youth,1
matter,1
See,1
future,1
marriage,8
speaking,2
loves,1
were,1
Oval,1
gives,1
tipping,1
catching,1
and,70
deciding,1
Sociology,1
storytelling,1
bisexual,2
Peace,1
Keeping,1
slap,1
left-handed,1
us—well,1
prestigious,1
say,2
Other,1
Call,2
wife’s,1
have,20
voiced,1
seen,2
concentration,1
element,1
any,3
viewed,1
Do,7
“hardest,1
Power,1
person,1
After,1
able,3
Virginia,2
also,7
concerns,2
shoot,2
Kim,1
online,2
rides,1
worldwide,1
aired,1
sure,2
multiple,2
HerCampuscom,1
though,1
VERY,1
knew,1
Journalism,2
officially,1
themselvesJenner's,1
Communications,1
now-deleted,1
nothing,1
accepting,2
The,5
too”,1
why,3
I’m,3
episode,2
Witherspoon,2
considered,2
clear,1
proud,3
cover,7
Pop,1
face,2
looked,1
@VanityFair,1
which,5
part,3
Alexis,1
two-part,1
senior,1
If,2
revealed herself,1
came,3
joining,1
saying,3
selection,1
shot,1
phenomenon,1
didn’t,1
summer,1
Georgia,1
celebrities,1
‘real,1
sexist,1
Moira,2
aren’t,1
consider—whether,1
fear,1
NYPD,1
feat,1
supporter,2
make,1
lessons,1
current,1
We,2
Woman,3
CampusCaitlyn,1
dividing,1
title,4
Sept,1
don't,1
hopeful,1
powerfulOur,1
should,3
Glamour,6
failed,2
only,7
Courage,1
anyone's,1
York,1
excitedly,1
Others,1
outrage,1
announce,1
piano,1
examples,1
hope,3
fight—and,1
do,7
minoring,1
his,3
opinions,1
watching,1
fellow,1
assistant,2
express,2
watch,1
television,1
pave,1
truly,1
Mirani,1
famous,1
feels,1
cannot,1
reading,2
words,10
international,1
during,4
sassy,1
scrolling,2
July,1
comment,2
areas,1
earn,1
Scripps,1
it”What,1
die,1
sources,1
ever,2
married,1
Washington,1
evening,1
calling,1
bad,2
stuff,1
she,37
including,1
where,2
Twitter,1
husband,1
respond,1
blew,1
learn,3
human,1
Herer,1
#longreads,1
sex,1
culture,1
see,1
full,2
are,13
LGTBQ,1
disturbing,1
best,1
PR,1
@danielleknecole_,1
said,5
don’t,3
ways,1
pictures,1
Horror,1
currently,3
circulating,1
sites,1
‘Woman,1
as that well-known,1
3,1
2015—more,1
hopefully,1
enjoys,2
wife's,1
tolerance,1
across,1
insult,1
we,7
makeup,1
recently,4
deserving,1
binge-watching,1
importance,2
Year”,1
however,1
Year’,1
'that,1
job,1
coffee,2
wear,2
key,1
emotional,1
Kardashaian/Jenner,1
news,2
come,2
holds,1
suggested,1
received,1
hits,1
last,1
blogs,1
privilegeShe,1
career,1
many,8
acknowledge,1
hours,1
against,1
agree,2
McGowan,2
Oscar,1
fixing,1
argue,1
whole,1
Campus,10
comes,1
Jenner,30
among,2
iPhone knowledge,1
relevant,1
groups,1
Her,20
can,12
reasons,1
English,1
pop,1
Nobel,1
ABC's,1
Music,1
rave,1
respect,2
women's,1
appeared,1
VANITY,1
“typical”,1
unusual,1
Literature,1
Jenner's,3
publishing,1
boybands,1
Get,1
My,1
acceptance,3
political,4
three,1
been,13
secret,1
much,3
stadium,1
basic,1
privilege,1
age as,1
featuring,2
recurring,1
life,6
lived,1
gay,3
Year,3
@DanielleKnecoleDo,1
Nations,1
understand,3
personally,1
worked,1
general,1
former,2
And,2
Olympian,1
publicly,1
these,2
definition,1
 However,1
will,3
Culture,1
stunning,2
Fair released,1
College,3
Kardashians,1
behavior,1
country,1
fun,1
Watchdog,1
slapping,1
aspirations,1
Miss,1
City,1
Hi,1
almost,1
is,48
it,15
Penn,2
internationallyThe,1
someone,2
Danielle,1
optimistic,1
in,47
ready,1
You,4
controversy,3
if,3
different,3
pat,1
harsh,1
things,3
began,2
of oppression,1
Hunter,1
same,3
tells,1
figuring,2
discredit,1
strange,1
potentially,1
largest,1
9,1
party,1
struggling,1
wear”McGowan,1
difficult,1
week,1
safe,1
screenshot,1
I,19
premiere,2
upon,2
hand,1
usually,1
uses,1
purpose,1
never,1
Usually,1
Republican,1
nation,1
MTV,1
tradition,2
identity,3
She’s,1
correspondent,1
off,2
Beyonce's,1
shared,1
Blogger,1
hang,1
well,1
It,2
know,5
asked,1
TV,1
Widower,1
In,4
position,1
the,128
reward,1
true,1
send,1
latest,2
ambassador,2
United,1
traditions,3
just,7
Spotify,1
being,11
generally,1
dancers,1
actress,1
Noticing,1
front,1
face of,1
identify,1
We're,1
questions,3
Internet,1
reality,2
happiness,1
previous,1
announcement,1
now,2
factor However,1
listen,1
mother,2
thinking,1
Samantha,1
daydreaming,1
point,1
had,8
Story,1
it’s,1
drew,1
allude,1
book,1
thatSiri,1
questioned,1
easy,1
problematic,2
News,3
has,27
excited,2
BruceCaitlyn,1
resolved,1
magazine’s,1
photo,1
around,3
read,1
James,2
showing,1
advocate,2
possible,1
Sawyer,2
judgement,1
game,1
 Jenner,1
community,6
background,2
press,1
world,10
bit,2
poses,1
correcting,1
transgender,12
bravery,1
formal,1
clan,1
f*cking,1
proponent,1
OK,1
like,9
lost,1
Show,1
sophomore,2
journalism,3
50,1
yearly,1
heart,1
communications,1
Jenner is,1
#CallMeCaitlyn,1
either,1
storiesCaitlyn,1
Caitlyn's,5
become,1
rich,1
Ithaca,1
towards,1
KardashiansBe,1
same-sex,6
right,6
honored,1
often,1
people,13
Since,1
proudly,1
back,4
slavery,1
hair,1
Fair along,1
experienced,2
Ellen,3
openness,1
Kardsashians,1
New,1
supportive,1
fanfare,1
confusing,1
Life,1
for,38
Medill,1
decision,3
Netflix,1
However,2
legal,3
conservative,1
News On,1
everything,1
does,3
Facebook,1
officer,1
be,19
who,9
eating,1
bold,1
business,1
woman’,1
eight-part,1
wake[s],1
Leibovitz,2
Up,1
Paige,2
You're,1
murdered,1
Siri will,1
graduated,1
tolerantEllen,1
post,2
refers,2
stereotypes,1
by,5
spoke,1
Kendall,1
majoring,3
about,23
working,1
Fair,7
most,1
attacks,1
of,64
industry,1
violence,1
favorite,2
US,2
magazine,6
journey,2
  ,1
stand,2
it's,3
televsion,1
Before,1
backup,1
or,6
automatically,1
Katie,1
raised,1
own,6
dilemma,1
Psychology,1
formerly,1
plethora,1
ESPYs,1
Social,1
Writing,1
down,2
freshman,2
because,5
Shouldn't,1
female,1
transpeople,1
I’ve,2
about She,1
CampusOn,2
rounds,1
particularly,1
sightseeing,1
minority,1
her,63
voices,1
justifying,1
Jamie,2
question,3
long,2
fight,1
Smith’s,2
way,13
Rose,1
associations,1
call,1
transitioning,1
was,21
opens,1
trivializes,1
some,2
becoming,1
MagazineHowever,1
Well,1
Dabney,1
but,10
searching,1
feminine,1
properly,1
mailed,1
hopes,1
trying,1
with,44
junior,2
Even,1
he,4
about being,1
made,4
CampusAmbassador,1
Office,1
inside,1
Diane,2
up,5
us,2
tell,1
There's,1
stories,1
critical,1
case,1
Close,1
napping,1
Editor,2
gone,1
responder,1
proved,3
Publishing,1
Annie,2
upset,1
Writer,1
am,5
an,11
How,1
as,22
Cait,1
expertise,1
at,12
International,1
Singh,1
check,1
traditional,1
boy,1
rumors,1
FAIR,1
no,2
newsstands,1
deserve,2
when,6
detail,1
handed,1
graduate,1
old,1
other,6
role,1
you,27
really,1
At,1
hereHey,1
E,3
oneself,1
separate,1
primetime,1
traditionalist,1
Adelphi,1
http//tco/NRyh6R09RR,1
April,2
important,6
trouble,1
audience,4
Cathy,1
leggings,1
friends,2
died,1
acknowledgment,1
ago,2
independently,1
using,1
wife,2
9/11,1
age,1
Khloe,1
alongside,1
American,1
intentionally,1
lipstick,1
As,3
2001,1
mass,1
fact,1
time,4
she's,2
CampusI,1
community goes,1
UGA,1
