word,frequency
Dining,1
sleep,1
Bailey,1
World Describe,1
regal,1
risk,1
appropriation,1
every,1
updates,1
Military,1
bringing,1
school,1
green-hued,1
Campus2015,1
One…,1
original’,1
hard-charging,1
force,1
Acapella,2
second,2
friendships,1
snuggled,1
even,3
established,1
cooking,1
internet #theforceawakensThe,1
new,6
ever,3
hero,1
never,3
here,3
 In,1
controversy,1
changes,1
Harvey,1
Three,1
should’If,1
highly,1
total,1
Incredibles,1
plot,1
Star,2
would,3
WHO,1
June,2
into This,1
DC Relationship,1
run’,1
music,1
survive,1
frenzy,1
1993,1
work,1
movies,3
Colombia,1
my,7
Owen,2
NayJurassic,1
Africa Place,1
Brian,1
want,1
Lord,1
unforgettable,1
most-talked-about,1
end,2
Countryside,1
copious,1
very,3
A,3
Correspondent,1
Bates,2
after,4
vicious,1
dinosaurs,3
International/Global,1
misfit,1
president,1
lap,1
fictional,1
Correspondant,1
teammates,1
seems,2
wind,1
Blue,2
Jurassic,13
over,3
heels Or,1
History/Political,1
Netflix,1
Robertson,1
what’s,1
bunny-lover,1
His,2
somewhere,1
Psi Do,1
happy Photo,1
expectations,1
Here,2
Anthropology,1
weeks,1
them,3
Challenge,1
they,5
one,4
debut,1
Mouse,1
meal,1
series,2
SOME,1
we'd,1
BiologyHometown,1
we’d,1
dinosaur,2
Wars,1
sparkle,1
got,1
Super,1
University,4
free,3
masterpiece,1
wanted,1
Studies,1
Mickey,1
ate,1
Parade,1
National,1
days,1
Hallo,1
already,1
Cooper,1
Working,1
Creative,1
another,1
Monsters,1
top,1
girls,1
too,4
wildly,1
Date June,2
dogs,1
Hall/,1
MusicalThe,1
“Imagine,1
Alongside,1
scenes,1
don’t,1
classes,1
cocktails  ,1
Galaxy,2
mini,1
Animation,1
realm,1
Gerson Year,1
-,1
snow,1
Band,1
 #feelingthebernIn,1
cinematic,1
regular,1
plenty,1
Guardians,2
Bernie,1
episode,1
medical,1
missed,1
 I,2
came,1
 This,1
prim,1
aspires,1
subtle,2
Anna,2
MusicDeal,1
explain,1
tyke,1
theme,1
screening,2
disgust,1
History,1
personality,1
wearing,1
do,2
Rex’,1
watch,1
students Fave,1
Washington,1
Mackenzie,1
release,1
blew,1
swept,1
Pet,1
Android,1
John,2
techniques,1
Comedy,2
away,1
 For,1
there's,1
we,8
CountrysideIPhone,1
nature,1
Howard's,1
goosebumps*,1
essentially,1
against,1
NayFootball,1
rehash,1
Given,1
tough,1
had,4
2nd,1
CharlotteWhile,1
blending,1
DJ,1
Chocolate,1
Literature,1
basis,1
three,2
been,6
it #missuniverseSteve,1
much,4
lovely,1
phenomena…,1
life,3
Vice,1
uh-oh,1
has,7
air,1
Banks…,1
Tomorrowland,1
voice,1
played,1
is,26
it,11
in,30
GreerGenre,1
if,6
Year Jurassic,1
things,2
debuted,1
Pratt,5
President,2
several,1
LaBeouf,1
tops,1
websiteDo,1
characters,2
practices,1
greatest,1
mother,1
hearts,1
the,99
corporate,1
just,3
Muses,1
sporting,1
assigned,1
victim,1
yet,1
come  Happy,1
partygoers,1
teenager,2
easy,1
News,1
save,1
rightThe,1
cultural,1
Relations,2
Trump,2
Echo,1
OF,2
hung,1
Thailand Funniest,1
people,4
proudly,1
Sci-FiNamed,1
born,1
intern,1
unless,1
5-inch,1
ruffled,1
for,32
LaurieGenre,1
comments,1
contributing,1
everything,1
Dave,1
Facebook,1
Bieber,1
Chris,6
beating,1
adorable,1
He,1
‘never,1
Gray,1
School,1
generationIf,1
night,2
protagonist,1
Place,1
Goonies,1
memorable,1
shaken,1
attacks,1
months,1
 we,1
ensure,1
two-toned,1
raised,1
Dallas,2
down,2
I’ve,1
often,1
annoyance,1
flying,1
way,13
overhead,1
was,18
amateur,1
form,1
becoming,1
WaterfrontFavorite,1
Minaj,1
movie-ending,1
PPU In,1
emotional,1
Cream,1
proved,1
classic,1
religiously,1
Crush,1
HC,3
check,2
Francisco,1
no,2
when,4
setting,1
evasive,1
Philippines,1
boy-genius,1
picture,1
TobrockeYear,1
journey,1
Fridog,1
weekend,1
billion,1
younger,1
longer,1
Year Princess,1
time,4
So,1
gown,1
dance,1
leads,1
manager,1
battle,1
certainly,2
finally,1
marks,1
suffered,1
Day,1
fancied,1
self-proclaimed,1
epic,2
did,2
brother,1
T-Rex,1
travels,1
quick,1
guy,1
Inspiration,1
George,1
romanceIf,1
says,1
discover,1
Burlington,2
Orange,1
Rec,1
THESE                      The,1
stressful,1
co-ed,1
havoc,1
current,2
Peeve,1
Honolulu,1
falling,1
FranciscoCA,1
Emma,1
LITERALLY,1
Kahlo,1
English,2
along,3
My,1
box,1
uproar #prayforparisNovember,1
studied,1
sweatThis,1
Dear,1
conveniently,1
Baldwin,1
Maine,1
love,1
It's,1
When,2
Member,1
Sanders,1
visit,1
underclassmen,1
live,1
films,3
These,1
chocolate,1
Children's,1
ballet,1
dermatologist,1
movie-going,1
modified,2
believer,1
cat,1
Down,1
can,7
making,1
arrive,1
Out,2
awesome,1
didn't,1
critic,1
listens,1
winter,1
write,10
Rebel,1
fourth,1
staying,1
Natalie,1
explores,1
information,1
may,2
Riley’s,2
Kendrick,1
date,1
obvi,1
grow,1
remember,1
OutRelease,1
Breakers,1
so,7
Kanye,1
acts,2
Jay,1
Biochemistry,1
years,5
professors,1
States,1
braid,1
lovelies,2
pterodactyls,1
Direction,1
group,1
how,3
attraction,2
community #jurassicworld2015,1
World,11
main,1
tiara,1
toe-curling,1
killer,1
christening,1
introduce,1
nation,1
She,6
not,3
now,2
TardinessDream,1
name,1
sophomore,2
Simply,1
 #mileywhat’sgoodAt,1
Milk,1
Live,1
year,16
girl,2
album,1
3rd,1
HCB's,1
looking,2
Stone,1
earlier,1
seventh,1
Judy,1
Either,1
 #justDOITShia,1
poems,1
Sigma,1
training,1
thing,1
place,4
think,2
frequent,1
saving,1
There,1
Royal,1
yourself,1
Hollywood,1
tall Advice,1
city,1
little,2
personalities,1
wouldn’t,1
breed,1
returns,1
tragic,1
terrifying,2
Date,1
white,2
that,9
released,1
sequels,1
Miley,1
than,2
Californian,1
$15,1
coffee Do,1
non-stop,1
YayPitch,1
‘Owen’,1
were,4
“feel,1
and,79
Tora,1
13th,1
say,3
mates,1
anger,1
any,3
Do,4
Advertising/Public,1
potential,1
take,1
sorority,1
summerIf,1
Dr,1
ultimate,1
sure,1
Off,1
forever,1
especially,2
wreaked,1
DramaCelebrated,1
senior,2
well-rounded,1
show,1
WV,1
ground,1
enthusiast,1
We,3
snack,1
office,1
only,3
going,2
black,1
Starring,1
get,5
grossing,1
freaking,1
regarding,1
Instagram,2
artist,1
where,1
Wesleyan,1
Rings,1
college,1
us,2
B*tches,1
Shopping,1
ways,2
review,1
between,3
Empire has,1
enjoys,1
across,1
fads,1
home-cooked,1
SnowGenre,1
come,1
talented,1
many,2
hadn’t,1
tour,1
 There,1
can't,1
color,1
Frites,1
pop,1
CreditWords,1
extinct,1
Events,1
Riley,1
considering,1
better,1
split…Jurassic,1
But,1
Princess,1
wants,1
Lawn,1
Ice,2
Action,1
former,2
those,1
To,1
these,4
AlohaRelease,1
cast,2
Year EmpireWhile,1
coffee,1
according,1
Wood,1
heels,1
different,2
media,1
same,2
reminder,1
events,1
status,1
I,10
running,2
favorites,1
Is,1
McAdamsGenre,1
amounts,1
without,2
In,4
scholarship,1
summer,4
United,1
being,2
rest,2
encapturing,1
NayOne,1
touch,1
weekly,1
Zach,1
thinking,1
spaceIf,1
it’s,2
blog,1
Although,1
real,2
around,4
read,1
dark,1
Aunt,1
Grande,1
Accompanied,1
blankets,1
pit-mix,1
Producer,1
Yourself,1
London,1
always,2
served,1
Entertainment,1
West,3
tragedies,1
competition,1
 2015,1
New,3
divine,1
Med,1
memories,1
year #jbpurpose2015,1
smitten,1
917,1
doughLatest,1
chefs,1
Rock,1
throwback,1
heroes—especially,1
on,22
preoccupied,1
island,1
meaning,1
characterized,1
or,16
unbounded,1
watchdog,1
and reconnects,1
your,10
decidedFavorite,1
her,19
there,2
Cookie,1
lot,1
CampusName,2
complete,1
Harry,1
Krasinski,1
trying,1
with,33
pull,1
sadness,1
2Release,1
Lancaster,1
am,2
an,9
How,1
as,14
together,1
watched,1
moves,1
minoring,1
film,6
again,2
yoga,1
Shorts,1
graduate,1
Purpose,1
you,27
puppy,1
poor,1
Great,1
championship,1
important,1
fresh,1
included,1
Clooney,1
mix-up,1
Alec,1
Major,1
assets,1
 Dream,1
week,2
Pitch,2
#TheDress,1
McKensie,1
original,5
splicing,1
all,7
forget,2
month,1
follow,1
to,65
they’re,1
ClubRelationship,1
Eat,1
song,1
far,2
fat,1
TortillaFavorite,1
fall,1
I'm,2
ComedyInside,1
colossal,1
Mikula,1
past,2
Department,1
pass,1
creatures,2
what,2
section,1
emotions,2
crush,1
version,1
scientists,1
storyWe,1
Charlie,1
compilation,1
loose,1
CampusThis,2
Tompkin’s,1
strong,1
squadThis,1
experience,3
amount,1
pick,1
family,1
young,1
semester,1
Creating,1
Medvida,1
two,1
6,1
taken,1
minor,1
more,7
flat,1
insanely,1
company,1
Mass,1
science,1
Studious Favorite,1
evolved,2
learn,1
male,1
Inc,2
beautiful,1
youths Celebrity,1
WorldLast,1
rejuvenate,1
CampusIn,1
phrase,1
dress,4
species,1
huge,1
needs,1
breaking,1
youThis,1
ensemble,1
tried,1
advice,1
Dog,2
triumphs,1
unsung,1
lighting,1
coming,2
wwwapennilesswriterwordpresscom,1
a,78
coat,1
anytime,1
roommates,1
don't,1
through,1
its,1
22,2
Dessert,1
adventure-sci-fi-thriller,1
good,2
food,2
anticipated,1
you've,1
sweeping,1
Pleasure,1
viewers,1
‘Look,1
easily,1
Saving,1
occasions,1
Potter,2
bless,1
trailer,1
reactions,1
everyone,2
editor-in-chief,1
hard,1
idea,1
expect,1
surly,1
event,1
really,1
lipstick,1
series…,1
since,3
WorldRelease,1
dominated,1
flame,1
Class,1
socks Go-to,1
Bryce,1
cookie,1
members,1
put,2
beginning,1
People,1
introduction,1
UCSB,2
‘Indominous,1
major,5
Hugh,1
celeb,1
done,1
story,1
guest,1
blossom,1
Howard,1
station,1
Delta,1
Matthews,1
overexposed,1
Justin,1
park,3
believe,1
double,1
aims,1
29Starring,1
2020,1
Barden,1
Creativity,1
It,2
Jane,1
VTActivities,1
Food,2
Virginia,1
couch,1
also,7
genetically,2
Alpha,1
With,1
play,1
added,1
most,1
plan,1
The,9
extremely,1
Grey’s,1
Baruchel,1
Perfect,3
gold,1
find,1
Kingdom,1
writes,1
pretty,1
rereads,1
English Hometown,1
crewThis,1
his,9
Magic,1
aficionado,1
famous,2
dinos,1
IPhoneFacebook,1
him,2
cartoons,1
Junior Major,1
cynical,1
Parkersburg,1
Bern”,1
see,2
are,8
chose,1
pictures,2
Park,9
fans,1
Part,1
spoofing,1
Kind,1
@NotDunnWriting,1
outfit,1
incident,1
franchise,2
last,5
adores,1
secrets,1
wouldn't,1
became,1
Yes,1
fail-safe,1
whole,3
Yet,1
Jenner,1
liked,5
Friday,1
2018Major,1
Spot,2
Mr,1
dances,1
Disney,2
create,2
satire,1
Goebelbecker,1
firm,1
eyerolls,1
Universe,1
else,2
 Grab,1
She's,1
chatter,1
Yay Do,1
Rachel,1
while,2
College,3
voice Photo,1
animated,1
Miss,3
EIC,1
ready,1
EastwoodBiggest,1
Anatomy Dinner,1
NayHarry,1
Adventure,2
ballerina,1
arrived,1
infamous,1
picks,1
Talks,1
Girl,1
know,2
Ages…,1
all-star,1
Labor,1
We're,1
Internet,1
praying,1
PantsCity,1
snag,1
shouting,1
excited,1
On,2
goose-bumps’,1
motivating,1
Glory,1
big,1
Air,1
NayStarbucks,1
quest,1
Black jumpsuits,1
‘your,1
follows,3
Bradley,1
communications,1
continue,1
popular,4
cones,1
some,2
back,3
 #hotlineblingDrake’s,1
couldn’t,1
Instagram Yay,1
though,1
Pixar,1
be,10
run,1
Brady,1
remembered,1
Bill,1
costumes,2
Bow,1
‘And,1
by,10
Square,1
anything,2
Communications,2
margaritas’,1
drama,1
Bark,1
classics,1
seeing,1
Tribbiani,1
soon #voteforkanye2020That,1
into,3
awaited,1
Their,1
dinosaursThe,1
wayIf,1
gruesomely eaten,1
classically,1
spending,1
Kiera,1
question,1
long,2
World co-star Bryce,1
we're,2
forward,1
15Starring,1
Come,1
poster,1
hoped,1
Adrian,1
line,2
junior,2
Jeff,1
Twitter,2
up,7
Murray,1
Britt,1
TV,4
called,1
Sci-FiTaking,1
constant,1
Perhaps,1
Parks,1
coordinator,1
Outside,1
Marywood,5
cotton,1
rainy,1
May,1
dimmed,1
Student,1
lend,1
understatement,1
TomorrowlandRelease,1
meals,1
‘man,1
12Starring,1
age,1
Scott,1
she's,1
velociraptors,2
requires,1
portraying,1
enjoyable,1
gang,1
go,1
Goldblum,1
relocates,1
Lucky,1
Words,1
Not,1
Odyssey,1
putting,1
Enjoy,1
Charlotte,1
19Starring,1
goodies,1
crop,1
soul,1
jump,1
Kaling,1
Transformation,1
Jessica,1
giving,1
Single Why,1
Swift,1
cozy,1
Year Taylor,1
let,1
slut,1
great,2
lookalikes,1
popcorn,1
named,1
Disney/Pixar's,1
all-white,1
names,1
Caitlyn,1
Status,1
from,9
Pomeranian,1
&,4
Driven,1
few,3
themselves,2
Lane,1
snatching,1
majoring,2
started,1
sister,1
Claire,4
