word,frequency
all,4
Mergitur @joannsfar #PrayforParisParis,1
managed,1
NYU,3
four,1
go,2
HCXOBree,1
paris,1
ParisAmor,1
send,1
to,27
Peer,1
Campusje,1
prie,1
continues,1
Multicultural,1
photo @ms_buchakHCNYU,1
every,1
I'm,3
solidaridad,1
Jersey,1
entire,1
school,2
magic,2
--,1
clothes,1
enjoy,2
Kent,1
Suis,1
State,3
graduating,1
what,1
assisted,1
international,1
can,1
full,1
never,1
Prior,1
witch,1
English,2
involved,1
SAIL,1
experience,1
Fluctuat,1
changes,1
Staff,1
love,2
vie,1
When,1
from,2
working,1
&,1
Qu'elle,1
June,1
sports,1
call,1
minor,2
accessories,1
#PrayforParis,2
glad,1
me,1
this,5
pour,1
members#prayforparis and,1
#PeacefortheWorldRegram,1
Our,1
my,2
beautiful,1
heart,1
Valentina,2
Media,1
cœur,1
Marketing,1
travel,1
acts,1
fortunate,1
write,10
A,1
Correspondent,1
attend,1
solidarity,1
a,25
Magazine,1
so,1
Apply,9
over,2
through,1
its,1
style,1
la,3
writing,5
better,1
Evan,1
eux,1
2016,1
fin,1
2010,1
eventually,1
them,1
À,1
affected,1
Rome,1
She,5
front,1
sophomore,1
KSU,1
Arts,1
en,1
CampusSending,1
nowDo,1
year,3
worldje,1
et,2
out,1
beauty,1
Holy,2
interned,1
McKenney,1
University,2
t'aime,3
members,1
qui,3
poems,1
Linguist,1
Studies,1
places  Evan,1
place,3
major,5
There,1
one,1
parismon,1
city,5
à,2
#PrayersforParis,1
their,1
CampusThe,1
Association,1
that,5
took,1
HerCampus,1
10,1
Blue&White,1
roles,1
solidarité,1
double,2
loves,2
and,28
fashion,1
CampusAmour,1
unlikely,1
have,9
Penn,2
Do,5
abroad,3
strength,1
Cosmopolitan,1
studying,2
De,1
also,2
take,3
even,1
towards,1
who,1
most,1
involving,1
Journalist,1
nothing,1
The,2
senior,1
TCU,1
show,1
Paris,12
visitor,1
Karla,1
celebrities,1
toujours,1
CampusHer,1
Sacred,1
enthusiast,1
busy,1
explain,1
Muslim,1
York,1
Je,1
History,1
hope,1
get,1
photography,1
de,2
While,1
Mentor,3
words,10
Cross',1
during,2
CampusHC,1
runs,1
Instagram,1
countries,1
ParísLove,1
she,4
prayers,5
college,1
are,3
best,1
away,1
currently,1
enough,1
horrible,1
stories,1
reading,1
Berks,3
je,2
both,2
full-time,1
many,1
taking,1
adventurer,1
tous,1
Campus,7
Her,13
color,2
Hey,1
community,2
throughout,1
addition,1
been,1
much,1
RA,1
life,2
families,1
Center,1
Princeton,1
Professional,1
those,2
case,1
Grogan,1
will,3
College,1
Communication,1
newspaper,1
remembering,1
is,13
it,2
in,12
different,1
belle,1
aiment,2
todos,1
I,7
sprinkles,1
brisé,1
thoughts,3
ParisPersonal,1
spent,1
severe,1
In,1
y,1
the,26
spend,1
violence,2
captures,1
from @nyunews ||,1
not,1
Ceux,1
time Do,1
Samantha,1
senseless,2
all-around,1
combine,1
has,1
gave,1
loss,1
read,1
know,1
styled,1
world,1
Heart,1
Fashion,2
Art,1
like,1
lost,2
journalism,2
people,4
Pray,1
tragedies,1
Nec,1
CampusOur,2
New,2
wanderlust,1
est,2
for,24
be,1
vousDo,1
Times,1
safeCeux,1
prepared,1
by,1
chapter,1
on,2
would,1
anything,1
attacks,1
of,19
months,1
gagnent,1
in Paris,1
image,1
Writing,1
everyone,1
But,1
Otto,1
remembrance,1
her,3
weekend,2
support,1
c'est,1
way,10
was,1
elsewhere,1
mourns,1
Students',1
hear,1
hopes,1
with,18
junior,2
Society,1
parisJoin,1
today,1
piece,1
Santis,1
horrific,1
devise,1
Cross,1
an,2
navy,1
as,3
at,7
our,5
rainbow,1
no,2
May,1
graduate,1
Andrews,1
Student,1
you,10
obsessed,1
Come,1
models,1
glitter Do,1
stay,1
Part-time,1
important,1
vigil,1
St,1
friends,2
world ,1
#PeaceforParis,1
home,1
blogs,1
repay,1
time,1
she's,1
