word,frequency
Lead,2
Night,1
Olympics,2
hanging,2
“uncommon”,1
under,1
pride,2
fists,1
rise,1
women's,2
every,6
bringing,2
school,1
skills,1
SNL,2
enjoy,1
force,1
second,1
fabulous,2
rigorous,1
Judo,2
even,9
our Instagram some,1
new,2
ever,5
whose,1
never,2
B***h,1
here,1
path,1
aren't,2
dork,1
watchers,1
changed,1
punishment,1
reckoned,1
City,1
explained,1
Relations,1
highly,1
brought,2
specifics,1
Health,1
would,5
best-selling,1
played,1
arms,1
moneyMayweather,1
garners,1
music,1
type,2
until,4
females,1
successful,1
brings,2
expose,1
reign,1
it,10
boyfriend Not,1
hold,2
me,8
pursue,1
work,2
movies,3
my,8
give,3
foods,2
Daze,1
keep,2
end,2
turn,1
song,1
how,3
amazing,1
Jordan,2
interview,2
beauty,2
insecure,1
after,4
modest,1
types,1
green,1
ultimate,2
things,8
worst,1
acknowledges,1
athletes,3
Brazil,1
over,7
expects,1
before,3
Here,1
writing,2
better,1
production,1
weeks,2
overcome,1
then,1
them,6
You”But,1
stereotypesRonda,1
esteemed,1
they,5
schools,1
passionate -,1
one,8
#TeamSelena,1
victory,1
each,2
went,1
Check,1
bone,1
knockout,1
series,1
me -,1
taught,2
hosted,1
crucial,1
content,1
Holm,13
[Atlas,1
got,4
Word,1
University,4
little,1
free,2
people's,1
Studies,1
Photo,1
days,1
aspire,1
already,2
Cooper,1
Fight,3
fantasy,2
featured,2
adopted,1
another,4
immensely,1
bantamweight,3
now”Rousey,1
top,2
girls,2
needed,1
one—including,1
too,2
Selena,5
enhancing,1
took,4
kept,2
itself Gif,1
distance,1
Colleges,2
showed,1
is…,1
tree,1
likely,1
walloped,1
don’t,2
feeling,1
minus,1
fashion,3
mind,1
talking,2
Holly,3
-,3
They,1
Ferb because,1
Pacey,1
Journalism,2
regular,1
plenty,3
#WomanCrushWednesdayShe's,1
I’d,1
definitely,2
doesn’t,2
came,4
saying,3
inspire,1
startedAnd,1
Anna,1
lessons,1
weekends,1
Holm’s,1
back-and-forth,1
pursuing,2
do,6
stop,1
everywhere   Rousey’s,1
runs,2
'Miss,1
16,1
twice,1
bad,3
ears,1
testing,2
alterations,1
Anderson,1
best,2
said,6
magic Please,1
away,3
“cookie,1
there's,2
we,17
men,4
however,3
Millersville,1
news,1
against,3
Gemini,2
Wednesday1,1
minutes”,1
tough,2
appeared,2
Myself”,1
Friends -,1
boys',1
speak,1
basis,1
binge,1
been,8
quickly,1
confident,1
$300,1
interest,1
expected,1
[YourTango]Woo,1
Champion She,1
life,3
CC,1
concert -,1
child,1
America”,1
stopping,1
voice,1
@Jacydance,2
HealthRhonda,1
mistake,1
ex-lovers,1
Both,1
is,74
Athens,1
NJcomIt,1
shame,1
talentHere,1
in,72
if,5
happen”She's,1
[Betches,1
make,6
potentially,1
Die,1
President,1
independent,1
Daily] Cara,1
judoka,1
Maybe,1
15th Rhonda,1
hand,2
opportunity,1
OlympianShe,1
CampusWhen,1
humble,2
greatest,1
mother,1
hearts,1
the,140
musical,1
she’s,3
opinions,1
just,11
photo,1
quotes,1
fighters,3
human,3
yes,1
yet,3
UIC,1
dayWhen,1
had,4
has,21
mocked,1
James,1
possible,2
possibly,1
cultural,1
boxer,1
enjoy Do,1
pioneerShe,1
59,1
50,2
remind,2
majored,1
night,2
notorious,1
right,1
people,3
profitDo,1
born,1
intern,1
Cancer,2
[xoJane]10,1
HC,1
for,55
outspoken,1
contributing,1
everything,1
Facebook,2
Bieber,1
adorable,1
biopic,2
Daily,1
starring,1
graduated,1
empowerment,1
dollars,1
months,1
magazine,1
Gomez,2
Best,1
raised,1
formerly,1
down,5
badmouthed,1
publics,1
fight,17
victorious,1
editor,1
way,13
call,3
was,32
they’ve,1
head,3
DNB,4
clinics,1
becoming,3
differences,1
sickest,1
[her],1
feminine,1
pay-per-views,1
free-spirited,1
true,1
responding,1
second…So,1
undefeated,11
inside,1
tell,3
Labron,1
proved,2
stronger,2
proven,1
Crush,1
no,6
mashup,1
when,4
cry”,1
interested,1
role,3
surprise,1
why,3
football,1
Melbourne,2
fight…,1
weekend,4
colligate’s,1
daily,1
time,8
knockouts,1
Times,2
managed,1
“Made,1
focus,1
burritos,1
supplement,1
HCND,1
certainly,2
disorders,2
father,1
division,1
Rousey,50
Jersey,2
level,2
did,2
Corriea,1
me” Their,1
team,2
quick,1
speculation,1
trash-talking,1
revolution,1
says,4
Entourage and,1
sign,1
run,1
Red,1
“I’d,1
Champion,2
