word,frequency
limited,1
Sharmaine,1
four,2
Does,1
hanging,1
$100After,1
hate,1
forget,1
ExchangeInstead,1
“You,1
under,2
pride,1
worth,2
buyers Although,1
sellers,2
every,3
bringing,1
tickets,2
school,3
venue,2
Tour”,1
heading,4
clothes,6
enjoy,5
Campus!University,1
specially,1
warns,1
“Free,2
foodSo,1
likely,1
fabulous,1
even,14
preferences,1
cooking,1
comparision,1
above,1
new,8
fall,1
ever,1
internships,2
told,1
never,1
here,11
pre-loved,3
dorm,2
100,1
kids,1
items,15
Tuesday,1
items Poshmark has,1
credit,2
browsing,1
someone's,1
changes,1
fantastic,1
Campus!With,1
secure,1
highly,1
county,1
Also,4
minorYear,1
would,6
sweater,2
call,5
recommend,2
Craigslist!,1
type,1
tell,1
posting,2
wary,1
brings,1
aware,1
excellent,1
hold,1
must,1
me,20
join,1
room,2
cheapest,1
pursue,2
work,9
movies,1
Balben,1
my,23
could,5
foodie,2
give,8
want,15
keep,3
Eagle,1
users’,1
end,4
travel,2
nuts,1
feature,1
how,12
amazing,2
housemates,1
infamously,1
beach,1
A,1
description,1
heartWhats,1
lad,1
after,4
lab,1
modest,1
tool!When,1
carrierUnlike,1
law,3
wouldn’t,1
complacent,1
purchase,1
think,8
Beyond,1
Sexual,1
order,1
wine,1
feedback,1
office,2
orderSome,1
over,5
Android phones,1
ticket,2
exchange,1
before,10
fit,1
personal,1
soaking,1
Ticketmaster,1
Here,1
writing,4
better,4
Forward',1
production,1
compelling,1
weeks,4
SAP,1
easier,1
then,7
them,9
break,5
caterpillar,2
they,22
schools,1
one,14
reasonably,1
each,4
went,2
side,3
mean,1
signing,1
whim,1
Brittney,1
“[It],1
quarter! ,1
strangers,1
laid,1
medicine,1
got,9
Ward,1
University,8
free,11
Burgers,1
@MissElizabethLV,1
“Netflix,1
wanted,2
Studies,1
Monday,3
days,3
outfits,1
messaged,1
Universities,1
already,2
features,2
hearing,1
relations,1
another,6
finalsDo,1
They’ve,1
was],1
activities,2
2015Hometown,1
top,5
girls,3
too,3
gym,1
took,2
Twice,5
Shots,1
Oracle,1
here Rich,1
forensic,3
second,2
http//instagramcom/katwill436,1
don’t,9
See,1
classes,2
feeling,2
fashion,3
we’ve,1
navigate,1
mind,1
talking,2
advising,1
rap,1
seen,3
