word,frequency
journalismDo,1
currently,2
Thank,1
Learn,1
four,1
passion,1
GW's,1
questions,1
world,1
follow,1
Campus!Photos,1
I'm,1
Email,1
History!,1
Campus!The,1
Sigma,1
fix,1
blogging,1
to,14
York,2
under,1
covered,1
has,2
sent,1
2012,1
me,1
them,1
Last,1
than,1
watching,1
big,1
sweets,1
Magazine,1
more! Do,1
She,4
words,9
name's,1
during,1
Clemson,2
Spain,1
'15,1
Summer,1
school,1
Art,1
like,1
New,2
https//wwwfacebookcom/events/104535389675067/Do,1
University!,1
Sevilla,1
Washington,2
She is,1
game!    If,1
she,3
Sales,1
where,1
George,1
@Alex_Horvitz or,1
For,1
goodies,2
y'all!!,1
hard,1
some,1
@allisonotis,1
are,2
our,1
event,4
Channel,1
out,1
lizlevine@hercampuscom Photo,1
Creditshttps//wwwfacebookcom/photophpfbid=10202332081412813&set=t15152818https//wwwfacebookcom/photophpfbid=10202332081852824&set=t15152818https//wwwfacebookcom/photophpfbid=10204764825545191&set=t13741469https//wwwfacebookcom/photophpfbid=10204764825625193&set=a10204494https//wwwfacebookcom/photophpfbid=10202431817749714&set=p10202431https//wwwfacebookcom/photophpfbid=10152399055977689&set=msceJwzNhttps//wwwfacebookcom/photophpfbid=10205000677719446&set=a34065641https//wwwfacebookcom/photophpfbid=850567164961468&set=t1000002457https//wwwfacebookcom/photophpfbid=10204764825465189&set=msceJxVyhttps//wwwfacebookcom/photophpfbid=10204910604634191&set=msceJxNyhttps//wwwfacebookcom/photophpfbid=10204643919598984&set=a41293219https//wwwfacebookcom/photophpfbid=10203601515931770&set=p10203601,1
for,14
interned,1
tailgating,1
pictures,1
Stanford,1
Do,1
contributing,1
I,1
difficulties,1
Facebook,3
Singers,1
got,3
Midterms,1
issue,1
Originally,1
pagehttps//wwwfacebookcom/events/176491739131862/Do,1
unavailableWe,1
facebook!http//wwwfacebookcom/eventphpeid=184262301657105Allison,1
Campus!http//wwwfacebookcom/HCIlliDo,1
PBS,1
internship,1
Journalism,1
University,3
Economics,1
free,1
Univerity,1
Studies,1
majoring,2
sister,1
Windermere,1
her,6
patienceMidterms,1
Communications,1
technical,1
Communication,2
studied,1
moment,1
Check,1
Campus!https//wwwfacebookcom/events/705989522823317/Alex,1
magazine,1
LinkedIn!Do,1
Spanish,1
DC,1
Pinterest! Do,1
Campus,7
info,1
love,2
Psychology,1
Her,17
blogger,1
down,2
#HCSurvivalKit!Thanks,1
semester,1
learning,1
FL,1
your,1
AlexHorvitz@hercampuscom,1
you're,1
or,1
from,3
double-majoring,1
working,2
&,1
would,1
My,1
devouring,1
SweetGreen,2
live,1
way,10
Delta,1
Abramowitz,1
more,5
website,1
exploring,1
sharing,1
shopping,1
that,2
DavidsonSamantha,1
Campus!In,1
about,1
aware,1
broadcast,1
soprano,1
Mass,1
News,1
hopes,1
MA,1
worked,1
trying,1
with,15
junior,1
Media,1
practicing,1
look,1
pursue,1
Twitter,2
up,1
us,1
career,1
game,1
ABC7,1
can,1
editorial,1
of,5
Hey!,1
my,1
email,1
connect,1
and,19
City,2
months,1
almost,1
interning,1
is,11
Campus!,5
sitehttps//wwwfacebookcom/events/166787513427665/Do,1
it,1
an,1
Horvitz,1
as,3
at,11
have,10
in,13
Kappa,1
Chipotle,2
anything,1
spends,1
Liz,1
belt ,1
information,1
Associate,1
Marketing,1
minoring,1
write,9
also,1
details,1
online,1
you,14
With,1
day,1
Tufts,2
Correspondent,1
Alex,2
beauty,2
InStyle,1
any,1
ladder,1
football,1
reach,1
Allison,1
courtesy,1
included,1
on,4
senior,1
Gamma,1
a,19
Co-President,1
stress,1
maybe,1
spent,1
One,1
Boston,1
time,1
Apply,9
the,14
having,1
You,1
