word,frequency
all,6
thatAll,1
focus,1
Take,1
go,2
follow,1
HCND,1
Foundation,1
Business,1
Vince,1
show,1
presents,1
to,36
passion,1
include,1
Twitter  Images,1
latelyWow,1
activities,1
ukulele,1
CaesarVisit,1
wishes,1
every,1
non-existent,1
fall,1
word,1
I'm,7
Charlotte,1
school,1
picPrivate,1
baking,1
did,2
t’aime,1
posts,1
team,1
you’ll,2
guy,1
shows,1
enjoy,2
force,1
past,1
State,4
Shakespeare,2
pass,1
even,2
didn'tAre,1
what,3
face-paced,1
assembled,1
international,2
ever,2
public,1
FTT,1
chocolate”,1
panelists,1
here,1
hours,2
dorm,1
David,1
stellar,1
t'aime,1
receive,1
involved,2
study,1
experience,2
leaving,1
amount,1
social,5
popcorn,1
tooSo,1
 She,1
love,4
hiking,1
Doctor,1
Top,1
When,1
total,1
market,1
hoping,2
Communications,1
from,14
working,2
&,2
live,1
call,1
Neuroscience,1
type,1
until,1
minor,1
more,6
Bronfman,1
door,1
on,19
Opera,2
didn't,1
company,1
industry Tickets,1
chocolate,5
pageHer,1
American,1
Sexuality,1
Mass,1
gradeYeah,1
women,3
me,3
states,1
ALL,1
practicing,1
room,1
this,5
CampusNeed,1
cap,1
movies,1
sour,1
can,3
learn,2
making,1
my,4
completing,1
Tierney,1
heart,1
embarrassing,1
hereFinding,1
give,2
indie,1
in,33
share,2
Aldo,1
something,1
Camuto,1
Desautels,1
Several,1
repping,1
YOUR,1
information,2
sip,1
end,1
Welsh,1
plans,1
Who,1
write,10
how,2
McGill,1
Demand,1
answer,1
instead,1
comedy,1
else’s,1
A,1
Correspondent,1
desireFollow HCND on Twitter like,1
description,1
farm,1
reps,1
salsa,1
Model,1
crêpe,1
Page   Do,1
a,47
purchase,1
short,1
tweeting,1
eats,1
so,2
Aly,1
Apply,10
Rough,1
order,1
Catwalk,1
help,2
ever-changing,1
including,1
signs,1
ticket,1
before,1
24,1
1,2
style,1
group,2
AdeleSo,1
picture/description/video,1
writing,3
Anthropology,1
futureDo,1
Dorm,1
2014,1
might,1
UConn's,1
2013,1
coffee,1
someone,2
fourth,1
was,1
food,2
safe,1
we'll,1
She,6
they,2
indulge,1
foot,1
discuss,1
showThe,1
peopleWho's,1
sophomore,1
opera,1
Potter,1
choir,1
good,1
Council,1
$50,1
Montreal's,1
concerts,1
profile,1
en,2
Network,1
peopleSeriously,1
series,1
related,1
Next,1
challenges,1
Live,1
catching,1
year,4
Dynamite,1
happen,1
event,7
special,1
out,4
living,1
psychology,1
fashionClick,1
fellowship,1
Office,1
internet,1
got,1
sweet,1
Junior,1
killReliable,1
Must,1
Join,1
questionsLink,1
resume,1
This,1
University,2
free,3
attending,1
imagine,1
put,2
checked,1
Studies,1
certified,1
organic,1
you’ve,1
recipes,1
anymoreWhy,1
think,1
first,2
major,1
there,1
student,1
Please,1
yourself,1
message,1
you're,3
little,1
North,1
publication,1
on Facebook Pin with,3
festival,2
concentrating,1
top,1
relations,1
their,3
CampusThe,1
especially,1
really,1
of Julius,1
interests,1
gummy,1
Justin,1
that,6
brains,1
Vocal,1
part,1
inmates,1
than,2
chocolat”,1
uOttawa,1
Cancer,1
double,1
loves,1
cards,1
10th,1
playing,1
CampusCome,1
bet,1
Madeline,1
and,43
fashion,4
Philadelphia,1
say,1
Other,1
have,11
need,1
Penn,5
decide,1
any,2
Do,3
speakers,1
ticketsImages 1Follow HCND on Twitter like,1
dancing,1
Food,1
studying,1
able,1
also,4
recommended,1
which,2
performance,1
Hall,2
sure,2
Die follows,1
though,1
who,1
Studies ,1
most,1
said,1
Ottawa,1
freshman,1
The,1
the,39
I’m,1
page for,1
Lewis,3
enthusiastic,1
festival's,1
incredibly,1
face,1
looked,1
CampusStop,1
CampusA,1
senior,1
If,1
Carolina,1
Saturday,2
macaron,1
overpriced,1
summer,1
Acts,1
stalkerUh,1
CampusHer,1
fine,1
find,1
fifth,1
impact,1
We,1
just,5
French,1
going,1
pretty,2
pursuing,1
Je,1
piano,1
hope,1
regularly,1
do,3
get,3
watch,1
kind,2
words,10
Quad,1
during,1
chips,1
celebrate,2
Italian,1
thereCheck,1
17,1
loveImage,1
Random,4
helpTo,1
bad,1
desingners,1
she,5
knowing,1
Canada’s,1
questions,1
maximum,1
cocktails,1
see,6
college,1
are,8
Performance,1
calendar,1
best,1
wonder,1
PR,1
Cofc,1
Iowa,1
served,1
pictures,1
currently,2
behind,1
probably,1
enjoys,2
reading,1
conferenceThis,1
across,2
available,1
we,2
Facebook page to,1
spring,1
CampusDo,1
job,1
key,1
Were,1
dates,1
career,1
annual,3
capella,1
Computer,1
we've,1
improv,1
Undergraduate,1
Campus,6
can't,1
Instragram,1
liked,1
Her,14
 Do,1
Hey,1
community,1
active,1
Formichella,1
Music,1
blonde,1
Women's,1
conference,1
event http//wwwhercampuscom/school/u-penn/shifting-gaze-women-music-panelLydia,1
Students,1
troupes,1
Idol,1
much,1
treat,1
Kindess,1
GradSo,1
us and,2
Vice,1
Fam,1
re-runs,1
FREE,1
photos,1
Rachael,2
Night,1
prices,1
an,9
those,2
“Je,1
myself,1
Facebook Do,1
these,2
reconcilliation,1
will,4
dual-degree,1
Communication,2
Admission,1
inspired,1
America's,1
ringing,1
is,23
5th,1
it,3
supportCheck,1
couples,1
demos,1
evening,1
Capital,1
aspects,1
if,2
different,1
players,1
perform,1
Notre,2
Regional,1
same,1
campus,1
member,2
Harrisburg,1
Admissions,1
details Image,1
President,1
week,1
Huddle,1
I,7
show our Instagram some,3
buzz,1
involvedDo,1
ballet/tap,1
running,2
uses,1
UConn,1
opportunity,1
chocolat's,1
totally,1
off,1
connectionsCan,1
asked,1
person,2
without,1
In,1
tabling,1
spend,1
Can,1
things,2
mingle,1
love Image,1
being,1
money,1
not,2
Sunday,2
CanadaWho,1
We're,1
7thEntrance,1
extra-large,1
PDub,1
Ravenclaw,1
likers,1
cherry,1
Friday,2
day,2
spread,1
affinity,1
prison,1
has,2
bukHurry,1
excited,1
real,1
HC,1
Last,1
around,1
availible online or,1
Did,1
personI'm,1
Roberts,1
10am-6pm,1
background,1
world,1
bit,1
candy Do,1
new,2
Fashion,2
like,4
Show,1
performing,1
50,1
serves,1
translates,1
WebpageFX,1
girl,1
continue,1
either,1
hashtag #AlysDayOfKindess so,1
night,2
it’s,1
page,2
actsNikki,1
West,1
back,2
streaming,1
intern,3
home,1
happenI,1
Dame,2
outs,1
for,33
creative,1
Met,1
asking,1
Facebook,10
Bieber,1
dating,1
be,6
eating,1
business,1
marketing,1
continuing,1
detailsTickets,1
Uncovered,1
become,1
pasta,1
includes,1
super,1
by,3
majoring,3
about,3
anything,1
audition,1
chemistryOh,1
of,30
industry,4
favorite,1
Check,1
act,1
commit,1
Message,1
or,9
Katie,1
Pennsylvania ,1
Psychology,1
“I,1
lowDo,1
accounts,1
actually,2
your,9
McGill's,1
networking,1
her,5
spending,2
Assistant,1
support,1
NC,1
ND,1
long,1
syllabus,1
way,11
greatness,1
music,3
Come,1
Sabrina,1
they’ve,1
media,7
buy,2
ND Caesar,1
Science,1
but,1
searching,1
gain,1
12pm-8pm,1
Harry,1
hopes,1
with,20
junior,2
posted,1
made,1
FBU,1
Twitter,1
official,1
hosting,1
us,7
 Nikki,1
Charity,1
called,1
marketplace,1
videos,1
up,1
recognize,1
CampusSatisfy,1
life,1
ins,1
as,9
at,11
Above,1
our,3
tooth,1
minoring,2
film,2
high,1
no,1
CampusAs,1
actor,1
other,1
details,1
Besides,1
you,24
Kindness,3
picture,1
February,2
Netflix,2
Gender,1
stay,1
important,1
Act,3
friends,1
texted,1
outskirts,1
Beyoncé,1
Follow HCND on Twitter like,1
At,1
time,3
Editorial/Tech,1
she's,1
lineup,1
