word,frequency
Writing,1
renting,1
all,6
forget,1
Title,1
am and Friday-Saturday,1
disappointed!Latte,1
while!,1
four,1
sleep,1
forged,1
hanging,1
go,3
follow,1
chair,1
involved,1
assembled,1
Downtown,1
apartment,2
pizza!The,1
spirit,1
to,74
Violence,1
they’re,1
colors 3,1
splurge,1
dressing,1
Monday-Thursday,1
Day,1
started,1
town,1
home-brewing,1
worse,1
advantage,1
sitting,1
everyone!,1
pages,1
vegan,1
choice,1
planners,1
sons,1
every,1
more!,2
Henry,1
Mazzio,1
I'm,1
bringing,1
relax!,1
school,11
Tso’s,1
help!,1
did,1
Monday-Friday,1
celebrity,1
attendDo,1
list,1
Swardson,1
large,3
this,10
 you,1
red,3
systemIf,1
team,1
you’ll,2
Tuesday,1
test! 6,1
Take,1
Cuisine,1
pork,1
pretend,1
195,1
tea,1
196,1
discover,1
the“Oneonta,1
Only,1
cost,1
design,1
traveling,1
Depot! Jordan,1
run,1
Bath,1
casual,1
drinks,2
even,1
nothing,1
what,4
cupcakes,1
adds,1
Tino’s,3
Taste,1
find,2
access,1
assured,1
currently,1
goes,1
new,8
learned,1
“not,1
public,2
exercise,1
budget-savvy!,1
satisfy,1
out! Rep,1
Short,1
Auburn-Opelike,1
desires,1
Hopkins,1
planner If,1
got,1
makeup,3
here,2
ranges,1
Prior,1
packing,1
poverty,1
others,1
dorm,1
rag-tag,1
My,2
mozzarella,1
change,1
24-hours,1
great,3
Auburn,2
ahead,1
View®,1
Open,1
study,3
studied,1
host,1
 offers,1
amount,1
exams,1
published,1
popcorn,1
Home,4
suitable,1
major/,1
options,4
rummaging,1
Event,1
place” ,1
writer,1
love,3
apple,1
duct,1
Admission,1
prefer,1
Relations,2
collegiettes! Katie,1
 Sick,1
graduated,1
semester,3
you’re,10
Mondays,1
guests,1
singing,1
Campus!Tired,1
yourself,1
use,1
Cleveland,1
from,15
would,2
culinary,1
destination,1
visit,1
two,1
tenders,1
sports,1
Tiger,2
live,2
Tino’s is also,1
call,1
calm,1
6,1
cuter,1
cram,1
military,1
until,2
minor,4
more,5
October,2
relax,1
afford,1
brings,1
getting,1
about,4
Campus!Every,1
glass,1
known,2
anyoneOneonta,1
must,2
me,2
Cheese,1
keeping,1
join,1
room,1
salad,2
pursue,1
science,1
athlete,1
work,3
Depot ,1
easier,1
can,9
isn’t,1
lazy like,1
example,1
proof,1
geeky,1
heart,1
AdmissionDo,1
Band,1
videos Do,1
awesome,3
organized,2
Campus!Matiysahu,1
high,3
heard,1
foods,1
cube,1
something,3
want,2
center’s,1
Kappa,1
cardio,1
Walter,1
Aside,1
huge,1
end,1
varied,1
syntactic,1
Deli,4
Marketing,1
travel,1
watching,1
poetry,1
write,11
how,5
hot,3
instead,2
Kay,1
native,1
Dreams,1
defeat,1
These,1
and soups,1
alternative,1
Correspondent,1
after,1
spot,1
Ryan,1
latte,1
tape ,1
notebook,1
studies,1
such,1
women's,2
Partnership,1
a,80
Katie,4
All,1
deadlines,1
imagined Hi!,1
Associate,1
robot,2
Tuesday-Thursday,1
18th,1
so,2
ultimate,1
allow,1
enter,1
Apply,10
addiction,1
first,1
dream,1
wing,2
Blue,1
22nd!,1
spreads,1
Magazine,1
help,1
Yoga,1
over,2
advised,1
squished,1
dine,1
back-to-school,3
paper,1
including,2
way! 1,1
134,1
cold,2
still,1
MIT,1
Texas,2
and other,1
Body,1
underwater,3
accepted,1
20,1
suitcases,1
located,5
personal,1
notebooks,4
writing,3
late,1
offers,6
unhealthy,1
2015,2
World,1
hidden,1
Make,1
Tickets,1
then,2
them,4
food,3
Michael,1
recreation,1
it!,1
lunch,3
She,5
they,5
flotation,1
not,3
sandwiches and,1
You’ll,1
day,4
A&M,2
Slice The,1
name,2
Don't,1
Yellow,3
textbooks,1
gem Not,1
Council,1
each,1
pizza,4
Check,4
binders,2
Monday-Saturday,1
heavy,1
A,1
lab!,1
whim,1
