word,frequency
all,3
code,2
versatile,1
Winter,1
dance,1
CHARGEDI,1
Beveragefruit,1
sleep,1
Take,1
Tia’s,1
go,1
follow,2
saved,1
children,1
kidding—sort,1
certainly,1
Vergara,1
referring,2
tv,1
peanut,1
young,2
send,1
to,85
charge,1
AttentionThere’s,1
premed,1
Atlanta,2
Now,3
worth,4
sent,1
“sitemap”,1
brown,1
woman,1
Food Burrito,1
Anything,1
without,1
very,1
sloppy,1
BrownHometown Melrose,1
difference,2
cool,1
dim,1
upper-middle,1
did,1
pinch,1
joined,1
try,3
solved,1
CHARGE,1
subway,1
second,1
footwear!,1
prevent,1
recaps,1
Fortunately,1
 Favorite,3
zero,1
design,3
NYC,1
neutral-colored,1
casual,1
even,1
what,7
adds,1
appear,1
GPS ,1
section,1
cooking,1
launch,1
This,1
printing,2
majoring,1
goes,1
marketing,2
leave!,1
new,3
learned,1
ever,1
public,1
filled,1
'Gossip,1
Cheryl,1
outgoing,1
led,1
interns,3
Age,1
never,2
punch,1
here,1
met,2
 If,1
let,1
Daily,1
battery2,1
directions,2
strong,1
My,2
uploading,1
change,1
great,3
balance,1
ResLife,1
metro,1
employees,1
30,1
allows,1
completely,3
experience,1
Your,1
products,4
Nicole,1
Spanish,1
changes,1
Maine,1
ventured,1
puffer,1
love,4
family,2
Emory,2
Justice,1
friends Do,1
app,1
When,2
piece ,1
semester,1
you’re,2
NetworkMake,1
singing,1
She's,1
readily,1
use,2
from,8
beachDo,1
would,7
&,1
destination,1
visit,1
two,3
periodically,1
few,1
live,1
doubt,1
here’s,1
lock,2
taken,1
choose ,1
Hankies,3
more,8
sort,1
relax,1
These,1
impress,1
site,5
downtown,1
phone,5
train,1
So,1
stick,1
hold,1
effort,1
potential,1
women,2
me,8
Maggie’s,1
this,11
work,1
Emory’s,1
believes,1
anywhere,1
can,13
isn’t,1
meet,1
primitive,1
my,19
spilled,1
Spade,1
purchases,1
crazy,1
tab,1
give,1
process,1
discussed,1
awesome,1
And,1
minimum,1
something,3
want,1
production,1
keep,1
dress,3
YOUR,2
native,1
information,1
needs,2
end,1
winter,1
conversation,3
rather,1
travel,1
get,4
utilize,1
write,5
located,1
amazing,1
pair,1
fourth,1
it’ll,1
types,1
A,5
blacked,1
product,1
designer,1
laundry,1
plans,1
huge,2
may,1
begging,1
launched!,1
after,3
hankie,1
upload,1
Rainboots ,1
routes,1
lot,1
Wild,1
such,1
coast,1
excited,1
splurging,1
a,62
purchase,2
All,1
Mexico,1
coat,6
MAKE,1
appreciate,1
One,1
maintain,1
so,2
sitcoms,1
Another,1
crafts,2
Apply,5
partnerships,1
theme,1
help,3
enter,1
Brandeis,1
soon,1
years,2
organize,2
during,2
mentioned,1
its,1
before,5
what’s,1
splurge,1
style,1
pens,1
Dunkin,1
soaking,1
plethora,1
 Nicole,1
Here,1
mattress,1
better,1
willing,1
choose,1
Using,1
travelling,1
collegiettes,1
might,2
easier,1
overcome,1
Sound,1
then,2
them,4
ALWAYS,1
Miami,1
“you,1
She,4
they,2
not,8
downright,1
day,1
Madden,1
San,1
brightness,1
warned,1
kayaking,1
someone,1
ways ,1
rain-proof,1
rock,1
addicted,1
Atlanta’s,1
went,1
front,1
Check,2
lifestyles,1
finalizing,3
financial,1
weight,1
map,3
doing,3
timeless,1
overwhelming,1
hard,3
idea,1
used,1
It’s,2
taught,1
connect,1
year,1
our,3
girl,5
out,7
trench,1
open,1
looking,1
PHONE,1
seriously,2
Hankies—,1
health,1
Hankies”,2
issue,1
Joel,1
math,1
later—splurge,1
wasn’t,2
neon-green,1
University,3
Sometimes,1
ImpressAlways,1
free,1
quite,1
fourteen,1
you’ll,1
approaches,1
complicated,1
put,2
returning,1
wanted,1
night’s,1
have—especially,1
ate,1
you’ve,1
could,2
days,1
times,1
creates,1
thing,4
well-made,1
can’t,2
danceTia,1
magazine,1
think,3
waited,1
first,6
Even,1
major,2
any-shape,1
saving,1
feel,1
number,1
yourself,2
feet,1
Maps,1
done,3
relations,1
another,1
categorize,1
message,1
miss,2
size,1
city,3
little,1
long,3
writes,1
Monday,1
start,1
durable,1
girls,1
PlanIf,1
navigate,1
their,2
terrifying,1
hurdle,1
SEO,1
final,3
store,6
too,1
exploring,1
eyes,1
B,1
craziest,1
that,22
tool,1
exactly,1
 SPLURGE-WORTHYA,1
took,1
task,1
Hispanic,1
part,2
dozen,1
believe,1
than,2
kind,1
Thankfully,1
culture,1
handmade,3
see,1
preparation,1
don’t,1
future,3
Upscale,1
supposed,1
loves,1
were,3
cross-bodies,1
providing,1
and,68
Diego,1
sitemap!,1
fashion,1
handkerchief,1
21Relationship,1
Pay,1
trendy,2
mind,1
spent,1
say,1
handbag—a,1
round-abouts,1
have,13
Campus!,1
sells,1
any,1
option,1
sell,2
Do,1
nights,1
interviewed,1
person,1
trip,1
studying,1
hankies,1
After,4
able,2
snow,1
sewing,1
investment,1
also,2
ideal,1
squad,1
store!,1
 MajorCriminal,1
which,1
Invest,1
With,2
atop,1
sure,4
multiple,2
alleviate,1
opposite,1
In,3
reach,1
medium-sized,1
most,1
Good,1
you!,1
pleasure,1
nothing,1
The,4
—,1
extremely,3
Girl,1
I’m,4
won’t,1
Google,3
especially,2
tuckeria,1
I’d,3
into,2
sometimes,1
spend,1
 A,4
definitely,2
principle,1
senior,3
walking,1
didn’t,2
show,2
celebrities,1
liquids!,1
colors,1
well-being,1
find,3
fifth,1
one,3
busy,1
anna’s,1
Campus!I’m happy,1
much,3
weekends,1
should,4
 How,1
only,4
going,2
black,2
York,4
pursuing,1
announce,1
Guys,1
awareness,1
do,7
watching,1
Coat,1
watch,1
Keep,1
next,1
sales,1
words,5
During,1
 ,3
Cho,1
blogging,1
cash!,1
gray,1
Because,1
showed,1
leather,1
Since,2
designs,1
JCrew,1
bag,1
she,3
activity,1
where,4
asked,1
set,2
“MY,2
sex,1
EMT,1
 Turn-on Humor,1
computer,1
college,3
are,12
EMS,1
origami,1
calendar,1
best,1
situation,1
zentangles,1
Iowa,1
Bethenny,1
chocolateDo,1
matter,3
managing,1
away,2
rings,1
overdressed5,1
purses,1
enough,1
between,1
probably,1
enjoys,3
reading,2
bought,1
available,1
we,6
recently,1
creating,1
extend,1
January,1
stress,1
job,1
ranked,1
coffee,1
interface,1
motto,1
come,1
both,1
folding,1
programmer,1
restaurant,1
career,1
many,2
voicemail,1
Hollywoodlifecom,2
Bring,1
sketchy,1
rankings,1
poverty,1
whole,1
Campus,2
comes,1
rapidly!,1
liked,1
Shopify,11
Her,7
point,3
battery,2
 Do,1
Northface,1
community,1
tons,1
sold-out,1
village,1
mapquest,1
labor,1
website’s,2
double-breasted,1
 What’s,2
Pad ,1
finally,4
self-confidence,1
raise,1
engines,1
Margaret,1
decent,1
create,3
we’ve,1
three,1
PHONE4,1
quickly,1
Most,1
increase,1
Campus!When,1
Haven’t,1
interest,1
basic,2
Pair,1
one-ways,1
Just,1
website,6
life,1
spending!,1
Campus!In,1
search,2
else,1
photos,1
moderation,1
understand,1
child,2
Girl',1
last,4
weeks,2
those,2
case,2
look,2
unlike,1
as,7
choices,1
will,6
optimization,1
limbo,1
fun,2
aid,1
Tattoo”,1
guide,1
cab,1
City,4
Jacobs,1
Chichen,1
Donuts,1
is,24
Iowan,1
it,17
Mattress,1
Better,1
middle,1
good,7
upscale,1
in,25
ready,1
Tia,2
if,5
capture,1
different,3
of!,1
large,1
make,3
Hunter,1
campus,1
rules,1
pad,1
Handbag,1
several,3
Interning,2
difficult,1
week,2
finish,1
gets!3,1
I,32
IS,1
viewing,1
Anywhere,1
arrived,1
MY,4
student,1
changing,1
puzzling,1
butter,1
drain,1
off,1
fully,1
Resident,1
charger,1
redesigned,1
It,2
options,1
people5,1
StatusSingle,1
contact,2
Have,1
there’s,1
the,64
drawing,1
If,3
aywhere,1
summer,1
Thank,1
just,3
less,1
being,1
money,2
foot,1
questions,1
yet,2
Happy,1
password,1
mini-computers,1
Famous,1
extra,1
had,9
recognizing,1
exclusively,1
it’s,2
blog,1
color,1
book,1
easy,2
Brands,1
tell,1
has,3
HopStop,3
smart,1
take,3
Sperry,1
customers,3
clutches,1
Last,1
around,1
casually,1
read,1
online,2
caps,1
handkerchiefs,3
quest,1
mom,1
using,3
designers,2
pier,1
occurring,1
waa-laa,1
Kamik,1
like,6
rides,1
journalism,2
true,1
either,1
Frankel,1
always,6
Mapquest,1
works,1
Dress,1
page,3
sitemap,2
making,2
SURE,1
old,1
often,1
learned 1,1
people,2
There’s,1
Mayan,4
some,4
back,2
library,1
understood,1
intern,2
hassle,1
MapQuest,2
New,6
school's,1
Burke,1
confusing,1
graduation,1
jewelry,2
for,18
decision,1
though,1
However,1
everything,2
Nothing,1
headaches,1
adorable,1
pea,1
Campus!NameNeil,1
 Turn-off texting,1
be,23
who,2
eating,1
Look,1
Quinnipiac,1
internship,1
real-world,1
interning,1
night,1
budgeting!,1
forming,1
how,2
Uh,1
post,2
stay,1
super,1
by,5
sporty,1
on,17
about,6
lifestyle,1
anything,3
getting,1
of,26
dollars,1
months,1
favorite,4
 What,2
concerts,1
™! ,1
dinner,2
guilty,1
high-quality,1
or,18
“marketing”,1
plan,1
ladies,1
own,4
No,2
orders,1
Make,2
errands,1
down,1
exciting!,1
weather,1
But,2
actually,1
sports,1
your,23
clutch,1
devices,1
her,8
suburbs,1
spending,2
support,1
there,2
fast,1
pages,1
stuck,1
Crush Sofia,1
Every,1
editor,1
way,6
mattresses,1
investment ,1
was,13
launching,1
ago,1
buy,1
Ma,1
drains,1
Marc,1
funds,1
 Celebrity,1
but,7
searching,1
bags,1
construction,1
helpful,1
line,1
with,21
junior,1
daysRachel,1
refreshing,1
made,1
wise,1
wish,1
up,4
family ,1
until,1
below,1
grasp,1
problem,2
stages,1
rain-resistant,1
Kate,1
detailed,1
engine,1
supervisor,2
intimidating,1
prevented,1
moved,1
direction,1
LinkedIn,1
an,7
rainboots,1
How,1
single,1
right,2
at,10
girlfriend,1
York-based,1
check,2
yoga,1
us,1
TV,1
dressed,1
when,8
readings,1
other,3
details,1
you,33
really,5
nice,3
Itza,1
Chicago,1
felt,2
DoAs,1
chance,1
important,3
Dragon,1
meals,1
building,1
“Girl,1
Mexican,2
lead,1
calls,1
Midtown,1
rule,1
As,2
warm,1
At,2
time,6
she's,1
crazy”,1
once,1
Highlands ,1
