word,frequency
all,13
forget,1
suburban,1
dollar,1
walking,1
month,2
routineFinally,1
manager,1
woods,1
Take,2
grateful,1
She's,1
go,2
follow,2
ridiculous,1
toothpick,1
relationships,1
Downtown,1
apartment,1
everything,1
bubble 8 You’re,1
young,2
Everyone,1
presents,1
to,99
must,1
helps,1
under,1
Not,1
women,1
349,1
me,4
downloading,1
sitting,2
very,1
schedule,2
also Although,1
Baby,1
sweaters,5
every,2
GA,1
got,1
self-proclaimed,1
join,1
I'm,2
difference,1
exact,1
minute,1
pinecones,1
school,1
sentimental,1
Just,2
bring,1
did,1
pinch,1
Journeys,1
joined,1
leave,1
pursue,2
convenience,1
Katrina,1
30458,1
team,2
quick,1
round,1
smaller,1
goodies,1
clinch,1
School,1
nail,1
second,1
perception,1
Macy’s,2
GarlandsWhere,1
pajamas,1
even,2
what,10
you!,1
againFinally,1
giving,2
beaten,1
while,2
Public,1
current,1
day 6,1
Amazon,1
new,8
Along,1
Swift,1
public,3
multitude,1
shocks,1
niche,1
full,1
festive,4
Originally,1
doing,1
men,1
commercial,1
here,2
notKasia,1
newspaper,1
let,2
English,1
along,1
strong,1
My,1
School's,1
change,2
great,2
kids,1
items,4
studied,1
Back,1
credit,1
Cone,1
pick,1
Francesca,1
reds,1
love,2
family,4
app,6
college 2,1
When,2
compare,1
Relations,1
highly,1
worth,1
you’re,4
Pine,1
singing,1
Thursday And,1
use,5
from,9
would,1
&,1
direction,1
two,1
Hello,1
few,3
live,1
Jill,1
music,1
too 3,1
recommend,1
procratinating,1
orange,1
tell,3
minor,3
more,4
Catcher,1
These,2
suggestions,1
company,1
getting,3
cashier,2
aware,1
phone,1
warm,1
So,2
basically,1
particular,1
Statesboro,2
hold,1
subscription,1
town,1
include,1
practicing,1
room,1
this,15
recall,1
Tiffany,4
netflix,1
Day,5
e-gift,1
Martial,1
remain,1
can,9
following,1
company”,1
Thrift,1
my,4
example,1
answerHow,1
boyfriend,1
slip,1
figure,1
scan,2
favorite,1
household,1
Hurricane,1
days,1
preffered,1
crazeHow,1
something,1
want,2
store-specific,1
Jesus,1
dress,1
Christmas,3
huge,2
chia,1
they’ll,1
winter,1
television,1
provide,1
Marketing,2
travel,1
write,10
located,2
amazing,1
fourth,1
Fall,1
beach,2
else’s,1
A,1
okay,1
plans,2
aspiring,2
may,2
advice,1
after,4
British,1
Thanksgiving,11
mother,1
Ugly,2
there 3,1
coming,2
such,1
data,1
grow,1
steal,1
a,66
purchase,1
scrambling,1
drop,1
attempt,1
Age “As,1
Don’t,1
frenzy,1
maybe,1
register,1
store’s,1
Who’s,1
so,4
Best,1
Quinn,2
media,1
garlands,2
Apply,9
make,1
wine,1
cute,2
What,1
serving,1
yellow Do,1
help,4
office,1
don't,1
over,2
midnight,2
soon,1
years,1
design!,1
customer,1
paper,2
through,3
cold,1
still,1
its,3
before,5
24,1
shorter,1
avid,1
Campus!The,1
sitting”,1
how,3
interesting,1
responsibilities,1
Here,1
actually,2
late,1
whites,1
offers,1
choose,1
caring about,1
Judge,1
ours,1
main,2
might,4
2010,1
2013,1
course  2,1
then,4
them,3
within,1
food,2
material,1
Pinterest,1
CVSJacket,1
break,1
mention,1
Acorns,1
drinking,1
She,1
they,6
party,2
communities,1
Senior,3
now,5
classes 7 Everything,1
day,3
articles,1
holiday,3
name,1
sophomore,1
level,1
Winter 4,1
Hi!,1
You’re,1
Black,5
Spaghetti,1
Check,2
isn't,1
Arts,1
mac-and-cheese,1
another,2
generation,1
Museum,1
Snyder,1
idea,1
Legal,1
It’s,1
VP-merchandising,1
year,2
our,3
blues,1
disasters,1
special,1
out,12
living,1
lipstick,1
driving,2
entertainment,1
boutique,1
since,1
looking,2
appeals,1
reader,1
medicine,1
surprise,1
Ward,1
we’re,3
Junior,1
red,1
shows,1
hailing,1
shop”Previous,1
you're,1
This,4
University,2
sparked,1
free,2
you’ll,2
surely,2
latest,1
earliest,1
Studies,1
card,2
receipts,1
Campus!Deck,1
Already,1
benefits,1
Wal-Mart,1
Brampton,1
could,3
transition,1
success,1
Sign,1
place,3
swing,1
Supercenter,1
think,1
first,2
major,5
already,2
features,1
Kmart,1
too!,1
Sweater,1
There,2
And,1
one,7
hook,1
Campus!Remember,1
Villanova,1
done,2
fast,1
directly,1
Cuter,1
corporations,1
ring,1
open,2
outfits,1
dressing,1
city,1
little,1
High,1
For,1
needed,2
families,1
leading,1
night,2
relations,1
tradition,1
their,6
station,1
too,2
FridayYeah,1
shoppers,1
really,2
final,1
store,3
we're,2
retailer ,1
treasured,1
lot,3
that,19
season,1
Trader,2
All,1
appreciation,1
part,1
because,2
Mantel Perfect,1
somewhat,1
believe,1
than,4
remember,1
11,1
10,1
trek,1
last,2
2015,1
non-stop,1
Interests,1
don’t,2
decided,3
Will,2
loves,1
were,2
Campus!Nail,1
visited,1
and,69
Diego,1
failing,1
giraffes,1
lines,1
season!,1
ages,1
Current,1
talking,1
buy,1
advising,1
have,19
Campus!,1
need,5
seen,1
seem,1
Strap,1
saw,1
linked,1
rollbacks,1
craziest,1
sell,1
Do,4
depending,1
convenient,1
ideas,1
also,6
emphasis,2
Walmart,29
take,1
which,2
online,4
“It,1
